,username,description,location,text,hashtags
0,101C10L,,Unknown,@meg122t @NoahShachtman Focus on Black on Black crime and you'll be very successful.,[]
1,AdityaRajKaul,"Journalist. National Security, Diplomacy, Conflict. Tedx Speaker. @ACYPL Fellow. Kashmiri. Reportage: @CBCNews @TimesNow @CNNNews18 @CTVnews @TimesofIndia","New Delhi, India","An innocent Hindu minority in Pakistan Notan Lal has been convinced to life sentence for a crime he did not commit in Sindh, Pakistan. That too blasphemy. This is how Pak commits atrocities against minorities with state approval. Will @StateDept @MEAIndia @DrSJaishankar speak up? https://t.co/FghOoL1pWX",[]
2,fahadYousafxi,student 👨‍🎓 of CUSIT Peshawar (future Engineer). “History Games Science Fitness & Wellness”,"Charsadda, Pakistan","Does Any Religion on Earth permit this CRIME against a Woman ?

Is this What ?  Will Majority Indians Still Remain Silent and Mute Spectators.? 

Salute to this Brave Girl. 

#HijabRow https://t.co/R51nPQnczg",['HijabRow']
3,Shamas_Ul_Islam,Allah has a reason for  allowing things to happen. We may never understand his wisdom but we simply have to trust his will.,Muzaffarabad ,Does Any Religion on Earth permit this CRIME against a Woman ?  Is this What ?  Will Majority Indians Still Remain Silent and Mute Spectators.?   Salute to this Brave Girl.... https://t.co/Ymiex1EF7c,[]
4,TimesNow,TIMES NOW is India’s most watched English news channel. Follow for lightning fast #BreakingNews and #Alerts.,India,"#Chennai: A man posing as a medical practitioner rented a clinic at Avadi &amp; duped a woman patient of gold jewellery worth Rs 2 lakh. 

#Crime 

https://t.co/G7sMaqUo0r","['Chennai', 'Crime']"
5,rajrahul28,"भारत के संविधान के अलावा किसी और विचारधारा में कोई दिलचस्पी नही।
महिला बिरोधी सोच से नफरत है।",BIHAR,"@RubikaLiyaquat My opinion on this commotion, is there OBC children in it, if it is, then it is a crime, he should get the death penalty. The upper caste children must be doing this for the sake of their religion. Hijab, veil should not be imposed on anyone, yes if someone wears it freely",[]
6,mehmuer,I am what I am,"Mumbai, India","@gangavasudev Haye same babe same...imma send u a pic of my bookshelf with their collection cause haye I've found my buddy 😍❤️ aka my partner in crime tbh 😁🥳

Ooh I get u ❤️",[]
7,ThePreCambrian,محجور و مہجور,Pakistan,Now we know why street crime is on rise in Karachi. https://t.co/H9y9OOXjgz,[]
8,JayMightWin,He/they - Singlet - I’m just here for the funny Velvet tweets but I somehow get caught up in other things,In bed,"@aidanrry See this is awkward, for a long while I was sure it was Crime boys and DNF who roped me in. But last year I was clearing storage going back through 2019 photos and clearing stuff from my danplan phase and I found a random screenshot from a Quackity minecraft youtube video, so…",[]
9,Sreenivas_4567,"MRA, and dream of Gender Neutral Society",india,"If man have sex with women, while dating, it's a crime

But, women can adultery, even in marriage, then it's a legal right
What kind of constitutional law is it

Sometimes, I feel that, ur mother committed adultery &amp; you people are born?
@rashtrapatibhvn @VPSecretariat @PMOIndia https://t.co/Mr6LA68ykq",[]
10,ahmersatti90,"Working in the field of sports since 2010. Sports correspondent @CricWick, Radio Broadcaster @DostiFM98. Worked for @PTVHomeOfficial, @Kay2tv @_cricingif",Islamabad,"@asadfacts Young boy he is not overrated but at that stage of his career exposing him in front of the side and country where our legendary bowlers struggled was a crime. At that stage Naseem Shah was at his earliest stages. They cheat the process, process cheated them too",[]
11,ihave_noplan,"A humble servant of Allah ||
25 years old || Doing MBA 🇵🇰 || Freelancer || Ambivert || Free 🇵🇸","Bahawalpur, Pakistan",@desiJaneAusten @flourrite Crime thrillers? 🤐,[]
12,ebrahimec1,⚽ = life | إبراهيم نوح ~,jdh,I rated The Crime (2021) 3/10  #IMDb https://t.co/BktR6rZzaF,['IMDb']
13,AdvVasukukreja,Vice President Legal Cell Bhim Army/Azad Samaj Party (Delhi) Social /Sikh Rights  Activist .  ExLegal Cell Conveyor Sanyukt Kissan Morcha #KissanEktaZindabad,"New Delhi, India","We live in India , where liquor shops are open but schools are closed , we live in india where ghunghat is a manner and wearing hijab is a crime , we live in India where caste of individuals matter #BJPHateFactory #HijabIsIndividualRight","['BJPHateFactory', 'HijabIsIndividualRight']"
14,UmAiRRizv1,"Politicals Analyst | social media influencer
 | blogger | Student |
#MediaCellTLP

خادم تحریکِ لبیــــــــــــک پاکستان🇵🇰","Rawalpindi, Pakistan","Does Any Religion on Earth permit this CRIME against a Woman ?

Is this What ?  Will Majority Indians Still Remain Silent and Mute Spectators.? 
Salute to this Brave Girl. 
@TLPMarkaz22
@samiabrahim
#Hijab
#AllahHuAkbar
#MuslimGirls
#ImamKhadimHussainRizvi
#TehreekLabbaikPakistan https://t.co/GlnDOTgIIz","['Hijab', 'AllahHuAkbar', 'MuslimGirls', 'ImamKhadimHussainRizvi', 'TehreekLabbaikPakistan']"
15,Sonaliharipriya,Shri Vaisnava,"New Delhi, India","@rewatiramanray @vinit7557 @MakrandParanspe @ARanganathan72 Tax evasion is indeed a crime but tax evasion is not unethical in India from utilitarian school of ethics. 

Tax is often used for the betterment of unproductive people",[]
16,Oindrojalik,"'Sha Naqba Imuru' is the opening line in the Epic of Gilgamesh which means 'He who sees the unknown'. No leisure for physics, music, astronomy or computation.","Kolkata, India","""If sending migrants home was a crime then Modi seems to have forgotten his own ‘complicity in it’, for it was the Union government, after all, that ran special shramik trains to transport workers back home.""

https://t.co/PPmCxln7Cc",[]
17,SumanSmita,PROUD INDIAN🇮🇳, India,"God never forgives those who do wrong {crime}in the name of God.
Sharam aa rhi h ab mujhe ye sb dekh kr ki hmare country me log sirf religion and caste krte rehte h,Yaha pe logo ko dusre ko hurt n pareshan krne me maza aata h sirf khud ke satisfaction ke liye,selfish😞
#shameful",['shameful']
18,reavan,"PCC standing for both Plastic Chair Critic as well as Politics, Cinema and Cricket",Coimbatore,"The #ArabicKuthu update is a riot

With SK, Ani &amp; Nelson, three is company &amp; not a crime

I have used this template twice in conversations already

#Beast https://t.co/ObdfR3zdTb","['ArabicKuthu', 'Beast']"
19,abhirawat2940,I m hardworking # positive # funny,"Dehradun, India",@sistoney67 @WestHam Westham united is such a fucked up club dont have guts to play without the person who committed crime against animals same on you west ham united,[]
